row_id,age,job,marital,education,balance,housing,loan,contact,month,campaign,pdays,previous,poutcome,y,y_binary,PreviouslyContacted,HasAnyLoan,BalanceGroup
103,37,management,single,tertiary,3452,yes,no,cellular,aug,9,-1,0,unknown,no,0,0,1,Medium
104,48,blue-collar,married,secondary,2083,no,no,cellular,aug,3,-1,0,unknown,no,0,0,0,Medium
105,31,admin.,married,secondary,1130,yes,no,cellular,jul,5,-1,0,unknown,no,0,0,1,Medium
106,45,technician,married,secondary,0,yes,yes,unknown,jun,5,-1,0,unknown,no,0,0,1,Negative
107,53,self-employed,single,unknown,289,no,no,cellular,feb,1,-1,0,unknown,no,0,0,0,Low
108,28,services,single,secondary,290,yes,no,cellular,may,1,-1,0,unknown,no,0,0,1,Low
109,42,admin.,divorced,secondary,2397,yes,no,cellular,apr,2,320,2,failure,no,0,1,1,Medium
110,35,technician,married,tertiary,393,no,no,cellular,aug,2,-1,0,unknown,no,0,0,0,Low
111,52,blue-collar,married,primary,4015,yes,no,unknown,may,2,-1,0,unknown,no,0,0,1,Medium
112,45,unemployed,divorced,primary,407,yes,no,cellular,apr,1,-1,0,unknown,no,0,0,1,Low
113,48,services,married,secondary,300,no,yes,cellular,jul,8,-1,0,unknown,no,0,0,1,Low
114,30,management,single,tertiary,4,yes,no,cellular,jul,1,-1,0,unknown,no,0,0,1,Low
115,42,entrepreneur,married,tertiary,1654,no,no,unknown,jun,1,-1,0,unknown,no,0,0,0,Medium
116,34,management,divorced,tertiary,5754,yes,no,cellular,nov,1,181,1,failure,no,0,1,1,High
117,32,blue-collar,single,secondary,3201,yes,no,cellular,nov,1,178,5,failure,no,0,1,1,Medium
118,31,technician,single,secondary,271,yes,no,cellular,may,1,-1,0,unknown,no,0,0,1,Low
119,50,technician,single,tertiary,0,yes,no,unknown,may,2,-1,0,unknown,no,0,0,1,Negative
120,29,blue-collar,married,secondary,275,yes,no,cellular,may,1,-1,0,unknown,no,0,0,1,Low
121,34,management,single,tertiary,84,no,no,cellular,feb,1,-1,0,unknown,no,0,0,0,Low
122,41,technician,divorced,secondary,988,no,no,cellular,aug,2,-1,0,unknown,no,0,0,0,Low
123,40,blue-collar,married,primary,3736,yes,no,unknown,may,3,-1,0,unknown,no,0,0,1,Medium
124,37,services,married,secondary,343,yes,yes,cellular,may,1,304,7,failure,no,0,1,1,Low
125,26,student,single,tertiary,10086,no,no,cellular,jul,3,78,2,success,no,0,1,0,High
126,39,blue-collar,single,secondary,290,yes,no,cellular,may,1,336,1,other,no,0,1,1,Low
127,51,entrepreneur,married,secondary,5403,yes,no,cellular,nov,1,-1,0,unknown,no,0,0,1,High
128,39,blue-collar,married,primary,499,yes,no,cellular,may,1,-1,0,unknown,no,0,0,1,Low
129,38,blue-collar,married,primary,4592,yes,no,cellular,may,1,-1,0,unknown,no,0,0,1,Medium
130,38,technician,single,secondary,884,yes,yes,cellular,nov,1,111,2,failure,no,0,1,1,Low
131,37,technician,divorced,secondary,3068,yes,yes,cellular,nov,2,195,1,other,yes,1,1,1,Medium
132,30,services,married,primary,1015,yes,no,cellular,jul,8,-1,0,unknown,no,0,0,1,Medium
133,61,retired,married,secondary,3114,no,no,cellular,nov,1,-1,0,unknown,yes,1,0,0,Medium
134,26,technician,single,secondary,150,yes,no,unknown,may,1,-1,0,unknown,no,0,0,1,Low
135,43,entrepreneur,married,secondary,0,yes,no,unknown,jun,1,-1,0,unknown,no,0,0,1,Negative
136,48,management,single,tertiary,906,yes,no,telephone,jul,9,-1,0,unknown,no,0,0,1,Low
137,48,unknown,married,unknown,558,no,no,cellular,aug,6,-1,0,unknown,no,0,0,0,Low
138,32,technician,married,secondary,901,yes,no,unknown,may,3,-1,0,unknown,no,0,0,1,Low
139,35,technician,married,secondary,-215,no,yes,cellular,jul,34,-1,0,unknown,no,0,0,1,Negative
140,30,management,single,tertiary,3849,no,no,telephone,aug,2,-1,0,unknown,no,0,0,0,Medium
141,53,blue-collar,married,unknown,960,no,yes,unknown,jun,1,687,2,other,no,0,1,1,Low
142,28,unemployed,single,secondary,23,no,no,cellular,jan,1,-1,0,unknown,no,0,0,0,Low
143,43,services,married,secondary,642,no,no,cellular,jul,2,-1,0,unknown,no,0,0,0,Low
144,50,technician,married,secondary,349,yes,no,telephone,jul,17,-1,0,unknown,no,0,0,1,Low
145,30,technician,married,secondary,33,yes,no,cellular,may,2,-1,0,unknown,no,0,0,1,Low
146,57,retired,married,primary,0,no,no,cellular,aug,4,-1,0,unknown,no,0,0,0,Negative
147,37,blue-collar,single,primary,0,no,no,unknown,jun,1,-1,0,unknown,no,0,0,0,Negative
148,37,technician,married,secondary,83,yes,no,cellular,may,1,363,1,failure,no,0,1,1,Low
149,32,management,married,tertiary,2667,yes,no,cellular,mar,1,181,4,failure,yes,1,1,1,Medium
150,26,services,divorced,secondary,1600,yes,yes,unknown,may,3,-1,0,unknown,no,0,0,1,Medium
151,42,unemployed,married,primary,2636,no,no,cellular,nov,2,151,1,failure,no,0,1,0,Medium
152,32,blue-collar,married,secondary,130,yes,no,cellular,may,2,-1,0,unknown,no,0,0,1,Low
153,36,technician,single,secondary,539,yes,no,cellular,aug,2,477,1,failure,yes,1,1,1,Low
154,35,management,single,tertiary,71,yes,no,unknown,may,12,-1,0,unknown,no,0,0,1,Low
155,35,blue-collar,single,secondary,-37,yes,yes,unknown,jun,2,-1,0,unknown,no,0,0,1,Negative
156,42,retired,married,secondary,56,yes,no,unknown,may,1,-1,0,unknown,no,0,0,1,Low
157,44,entrepreneur,divorced,tertiary,316,yes,no,cellular,nov,1,-1,0,unknown,no,0,0,1,Low
158,51,technician,married,secondary,47,no,no,cellular,aug,4,-1,0,unknown,no,0,0,0,Low
159,36,technician,divorced,secondary,5957,yes,no,cellular,nov,2,-1,0,unknown,no,0,0,1,High
160,37,management,married,tertiary,785,yes,no,cellular,nov,2,-1,0,unknown,no,0,0,1,Low
161,40,technician,married,tertiary,677,yes,no,cellular,apr,3,-1,0,unknown,no,0,0,1,Low
162,30,blue-collar,married,primary,265,yes,yes,unknown,may,1,-1,0,unknown,no,0,0,1,Low
163,30,blue-collar,married,secondary,5903,yes,no,cellular,may,1,363,1,failure,no,0,1,1,High
164,33,blue-collar,married,secondary,372,yes,no,unknown,may,2,-1,0,unknown,no,0,0,1,Low
165,36,self-employed,single,secondary,1173,yes,yes,unknown,jun,5,-1,0,unknown,no,0,0,1,Medium
166,34,management,single,tertiary,966,yes,no,cellular,nov,1,101,3,failure,no,0,1,1,Low
167,35,management,married,secondary,1,yes,no,unknown,may,2,-1,0,unknown,no,0,0,1,Low
168,34,management,married,tertiary,1433,no,no,cellular,aug,3,-1,0,unknown,no,0,0,0,Medium
169,33,management,married,tertiary,322,yes,no,cellular,apr,3,-1,0,unknown,no,0,0,1,Low
170,51,management,married,tertiary,285,no,no,cellular,feb,2,-1,0,unknown,no,0,0,0,Low
171,36,self-employed,married,tertiary,16430,yes,no,unknown,jun,3,-1,0,unknown,no,0,0,1,High
172,32,management,married,tertiary,937,no,no,cellular,aug,1,94,2,failure,no,0,1,0,Low
173,35,technician,single,tertiary,0,yes,no,telephone,aug,2,-1,0,unknown,no,0,0,1,Negative
174,39,blue-collar,married,secondary,804,yes,no,unknown,may,1,-1,0,unknown,no,0,0,1,Low
175,54,blue-collar,married,primary,211,no,no,unknown,jun,2,-1,0,unknown,no,0,0,0,Low
176,30,management,single,tertiary,1572,no,no,cellular,jan,1,-1,0,unknown,no,0,0,0,Medium
177,23,blue-collar,single,secondary,525,yes,no,unknown,may,1,-1,0,unknown,no,0,0,1,Low
178,30,admin.,married,secondary,15,yes,no,unknown,may,1,-1,0,unknown,no,0,0,1,Low
179,30,blue-collar,married,secondary,-269,yes,no,unknown,may,2,-1,0,unknown,no,0,0,1,Negative
180,32,technician,single,tertiary,392,yes,no,cellular,nov,2,-1,0,unknown,no,0,0,1,Low
181,60,technician,married,secondary,1740,no,no,cellular,mar,2,-1,0,unknown,yes,1,0,0,Medium
182,36,management,married,tertiary,-2,no,no,cellular,aug,2,-1,0,unknown,no,0,0,0,Negative
183,51,blue-collar,married,unknown,125,yes,no,unknown,may,2,-1,0,unknown,no,0,0,1,Low
184,30,admin.,single,secondary,914,yes,no,cellular,oct,3,272,1,failure,yes,1,1,1,Low
185,39,technician,single,tertiary,47,yes,no,unknown,may,1,-1,0,unknown,no,0,0,1,Low
186,58,management,married,tertiary,4265,yes,no,unknown,may,2,-1,0,unknown,no,0,0,1,Medium
187,54,blue-collar,married,primary,258,no,no,telephone,may,1,88,1,failure,no,0,1,0,Low
188,30,admin.,single,secondary,2568,no,no,cellular,sep,1,100,4,other,yes,1,1,0,Medium
189,54,admin.,married,primary,0,yes,no,cellular,jan,3,-1,0,unknown,no,0,0,1,Negative
190,45,technician,married,secondary,3601,yes,no,unknown,may,2,-1,0,unknown,no,0,0,1,Medium
191,35,self-employed,married,secondary,670,no,no,cellular,jul,1,-1,0,unknown,no,0,0,0,Low
192,27,unemployed,single,secondary,771,no,no,cellular,oct,1,302,3,other,yes,1,1,0,Low
193,48,technician,divorced,secondary,145,yes,no,cellular,aug,5,-1,0,unknown,no,0,0,1,Low
194,31,blue-collar,married,primary,55,yes,yes,cellular,apr,2,-1,0,unknown,no,0,0,1,Low
195,24,blue-collar,married,secondary,-220,yes,no,cellular,apr,1,-1,0,unknown,no,0,0,1,Negative
196,59,retired,married,primary,0,yes,no,unknown,may,7,-1,0,unknown,no,0,0,1,Negative
197,48,admin.,married,primary,3644,yes,yes,telephone,jul,9,-1,0,unknown,yes,1,0,1,Medium
198,46,blue-collar,divorced,secondary,1074,yes,no,cellular,may,2,-1,0,unknown,no,0,0,1,Medium
199,31,management,married,tertiary,477,yes,no,cellular,nov,5,-1,0,unknown,no,0,0,1,Low
200,40,admin.,single,secondary,178,yes,no,cellular,may,1,-1,0,unknown,no,0,0,1,Low
201,34,unknown,married,unknown,164,no,no,cellular,aug,2,-1,0,unknown,no,0,0,0,Low
202,58,unemployed,married,primary,446,no,no,cellular,jan,2,-1,0,unknown,no,0,0,0,Low
203,27,management,married,tertiary,1531,yes,no,cellular,may,1,367,4,failure,no,0,1,1,Medium
204,30,blue-collar,single,secondary,799,no,no,unknown,jun,1,-1,0,unknown,yes,1,0,0,Low
205,35,services,divorced,secondary,-718,yes,no,cellular,nov,1,-1,0,unknown,no,0,0,1,Negative
206,49,technician,married,secondary,662,no,no,unknown,jun,2,-1,0,unknown,no,0,0,0,Low
207,38,management,married,tertiary,691,yes,yes,cellular,aug,1,-1,0,unknown,no,0,0,1,Low
208,37,management,single,tertiary,1743,yes,no,cellular,nov,1,113,2,failure,no,0,1,1,Medium
209,36,admin.,divorced,secondary,1089,yes,no,telephone,may,5,175,4,other,no,0,1,1,Medium
210,29,technician,single,tertiary,-803,yes,yes,cellular,may,1,329,9,failure,no,0,1,1,Negative
211,46,technician,divorced,secondary,-1361,yes,yes,cellular,nov,1,-1,0,unknown,no,0,0,1,Negative
212,28,management,single,tertiary,6817,yes,no,cellular,feb,4,-1,0,unknown,no,0,0,1,High
213,30,admin.,single,secondary,0,no,no,cellular,sep,3,-1,0,unknown,yes,1,0,0,Negative
214,58,management,married,tertiary,2261,yes,no,cellular,jun,1,391,1,failure,no,0,1,1,Medium
215,30,blue-collar,single,primary,-10,no,yes,cellular,feb,1,-1,0,unknown,no,0,0,1,Negative
216,32,technician,single,tertiary,4,yes,no,cellular,apr,1,-1,0,unknown,no,0,0,1,Low
217,46,management,married,tertiary,4301,yes,yes,cellular,nov,1,183,2,failure,no,0,1,1,Medium
218,46,technician,married,secondary,399,yes,no,unknown,jun,2,-1,0,unknown,no,0,0,1,Low
219,33,services,married,primary,0,yes,no,cellular,jul,2,-1,0,unknown,no,0,0,1,Negative
220,33,technician,single,secondary,177,yes,no,unknown,may,1,-1,0,unknown,no,0,0,1,Low
221,55,blue-collar,married,unknown,1665,no,no,telephone,jul,2,-1,0,unknown,no,0,0,0,Medium
222,44,services,divorced,secondary,2416,yes,no,unknown,may,3,-1,0,unknown,no,0,0,1,Medium
223,57,retired,divorced,primary,698,no,no,telephone,dec,3,191,2,failure,no,0,1,0,Low
224,35,admin.,single,secondary,424,yes,no,cellular,apr,4,-1,0,unknown,no,0,0,1,Low
225,29,blue-collar,married,secondary,0,no,no,cellular,jul,1,-1,0,unknown,no,0,0,0,Negative
226,30,student,single,tertiary,300,no,no,cellular,feb,1,-1,0,unknown,no,0,0,0,Low
227,30,technician,single,secondary,126,no,no,cellular,aug,2,-1,0,unknown,no,0,0,0,Low
228,53,retired,married,secondary,1554,no,no,unknown,jun,1,-1,0,unknown,no,0,0,0,Medium
229,30,admin.,single,tertiary,1535,no,no,cellular,aug,4,-1,0,unknown,no,0,0,0,Medium
230,31,blue-collar,married,secondary,1545,yes,yes,cellular,may,1,-1,0,unknown,no,0,0,1,Medium
231,31,management,married,tertiary,8279,no,no,cellular,aug,2,-1,0,unknown,no,0,0,0,High
232,53,technician,married,secondary,757,no,no,cellular,feb,5,-1,0,unknown,no,0,0,0,Low
233,43,technician,divorced,secondary,73,yes,no,cellular,jul,2,-1,0,unknown,no,0,0,1,Low
234,32,technician,single,tertiary,2204,yes,no,cellular,nov,4,-1,0,unknown,no,0,0,1,Medium
235,36,blue-collar,married,secondary,723,yes,no,cellular,jul,2,-1,0,unknown,no,0,0,1,Low
236,44,blue-collar,married,primary,93,yes,no,cellular,nov,1,-1,0,unknown,no,0,0,1,Low
237,30,management,single,tertiary,57,yes,no,cellular,feb,2,-1,0,unknown,no,0,0,1,Low
238,32,management,married,tertiary,1388,yes,no,cellular,aug,1,105,1,success,no,0,1,1,Medium
239,23,services,single,secondary,567,yes,yes,cellular,may,1,-1,0,unknown,no,0,0,1,Low
240,43,management,married,secondary,10273,no,no,cellular,aug,2,-1,0,unknown,no,0,0,0,High
241,30,unemployed,single,secondary,8304,no,no,cellular,apr,1,-1,0,unknown,no,0,0,0,High
242,32,management,single,tertiary,41,no,no,cellular,aug,5,-1,0,unknown,yes,1,0,0,Low
243,52,blue-collar,married,primary,273,yes,no,cellular,aug,2,-1,0,unknown,no,0,0,1,Low
244,35,entrepreneur,married,secondary,2971,no,no,cellular,nov,2,-1,0,unknown,no,0,0,0,Medium
245,42,blue-collar,married,secondary,3213,no,no,telephone,oct,1,-1,0,unknown,no,0,0,0,Medium
246,35,management,married,tertiary,2793,no,no,cellular,nov,2,-1,0,unknown,no,0,0,0,Medium
247,52,blue-collar,married,secondary,60,no,yes,cellular,aug,2,-1,0,unknown,no,0,0,1,Low
248,57,retired,married,secondary,919,yes,yes,unknown,may,2,-1,0,unknown,no,0,0,1,Low
249,35,blue-collar,single,secondary,0,yes,no,cellular,may,1,305,1,failure,no,0,1,1,Negative
250,71,retired,married,tertiary,14220,yes,no,cellular,sep,1,-1,0,unknown,yes,1,0,1,High
251,33,blue-collar,divorced,primary,-53,yes,no,unknown,may,1,-1,0,unknown,no,0,0,1,Negative
252,51,housemaid,married,secondary,260,no,no,cellular,aug,5,-1,0,unknown,no,0,0,0,Low
253,30,blue-collar,married,secondary,2583,yes,no,cellular,may,3,-1,0,unknown,no,0,0,1,Medium
254,36,unemployed,single,primary,0,yes,no,telephone,jul,6,-1,0,unknown,no,0,0,1,Negative
255,47,blue-collar,married,secondary,303,no,no,unknown,jun,1,-1,0,unknown,no,0,0,0,Low
256,44,blue-collar,married,primary,-298,yes,no,cellular,may,1,-1,0,unknown,no,0,0,1,Negative
257,31,entrepreneur,divorced,secondary,290,yes,no,cellular,apr,1,-1,0,unknown,no,0,0,1,Low
258,34,blue-collar,married,secondary,2595,yes,yes,cellular,apr,1,336,2,other,no,0,1,1,Medium
259,28,management,single,secondary,1609,yes,no,cellular,may,2,315,3,failure,no,0,1,1,Medium
260,36,technician,married,tertiary,99,yes,yes,cellular,feb,1,85,1,failure,no,0,1,1,Low
261,58,retired,married,tertiary,1326,no,no,cellular,aug,1,-1,0,unknown,no,0,0,0,Medium
262,43,blue-collar,single,primary,0,no,no,cellular,jul,1,-1,0,unknown,yes,1,0,0,Negative
263,28,technician,single,secondary,1532,no,no,cellular,feb,5,-1,0,unknown,no,0,0,0,Medium
264,33,services,married,secondary,1076,no,no,cellular,aug,1,259,4,failure,no,0,1,0,Medium
265,36,technician,married,secondary,300,no,no,unknown,jun,1,-1,0,unknown,no,0,0,0,Low
266,54,blue-collar,married,primary,95,no,no,cellular,jul,1,-1,0,unknown,no,0,0,0,Low
267,60,retired,married,secondary,90,yes,no,cellular,jul,3,-1,0,unknown,no,0,0,1,Low
268,36,management,married,tertiary,481,yes,no,cellular,nov,3,-1,0,unknown,no,0,0,1,Low
269,47,blue-collar,married,unknown,306,yes,no,unknown,may,1,-1,0,unknown,no,0,0,1,Low
270,46,blue-collar,married,unknown,8,no,no,cellular,aug,6,-1,0,unknown,no,0,0,0,Low
271,49,technician,married,tertiary,8422,yes,no,cellular,nov,3,-1,0,unknown,no,0,0,1,High
272,65,management,married,unknown,2352,no,no,cellular,nov,3,188,13,success,no,0,1,0,Medium
273,33,housemaid,married,tertiary,4958,yes,no,unknown,may,1,-1,0,unknown,no,0,0,1,Medium
274,35,technician,married,secondary,905,no,yes,cellular,aug,2,-1,0,unknown,no,0,0,1,Low
